Qty	Lot ID	Size	Carat	Lab	Shape	Color	Clarity	Cut	Polish	Symmetry	Fluorescence	Discount	Per Carat Rate	Final Amount	Key To Symbol	Lab Comment
1	900061478	3.00-3.99	3.01	GIA	BR	D	VVS1	EX	EX	EX	NON	-38.00	28,520.00	85,845.20	Feather	
1	21214039	2.00-2.99	2.00	GIA	BR	H	VS1	EX	EX	EX	NON	-38.00	7,750.00	15,500.00	Cloud, Crystal, Feather, Needle, Natural	Additional clouds are not shown. Pinpoints are not shown.
1	21269689	2.00-2.99	2.00	GIA	BR	H	VS1	EX	EX	EX	NON	-34.00	8,250.00	16,500.00	Crystal, Cloud, Indented Natural, Natural	Additional clouds, pinpoints and surface graining are not shown.
1	112209404	2.00-2.99	2.00	GIA	BR	H	VS1	EX	EX	EX	NON	-39.00	7,625.00	15,250.00	Crystal, Indented Natural, Needle, Natural	Clouds, pinpoints and surface graining are not shown.
1	900064418	2.00-2.99	2.01	GIA	BR	F	SI1	EX	EX	EX	MED	-51.00	6,027.00	12,114.27	Crystal, Twinning Wisp, Feather, Needle, Indented Natural	Additional twinning wisps, pinpoints and surface graining are not shown.
1	1709323	2.00-2.99	2.54	HRD	BR	F	SI2	EX	EX	EX	NON	-48.00	5,096.00	12,943.84		
1	21126224	3.00-3.99	3.02	In-House	BR	H	I1	EX	EX	EX	MED	-56.98	3,527.64	10,653.47		
1	21155574	3.00-3.99	3.05	In-House	BR	H	I1	EX	EX	EX	NON	-56.98	3,527.64	10,759.30		
1	911036108	2.00-2.99	2.00	GIA	CU	G	VS1		EX	EX	NON	-47.00	7,420.00	14,840.00		Clouds are not shown. Pinpoints are not shown.
1	290053887	2.00-2.99	2.01	GIA	CU	E	VVS1		EX	VG	NON	-52.86	8,720.90	17,529.01		
1	900691763	2.00-2.99	2.01	GIA	CU	G	VS2		EX	EX	NON	-60.59	5,123.30	10,297.83		
1	900691769	3.00-3.99	3.00	GIA	CU	G	VS2		EX	EX	FNT	-56.00	9,020.00	27,060.00		
1	911036111	3.00-3.99	3.01	GIA	CU	G	VS2		EX	EX	NON	-40.00	12,300.00	37,023.00		
1	290035976	3.00-3.99	3.01	GIA	CU	H	VS1		VG	EX	NON	-58.00	8,190.00	24,651.90		
1	911036101	2.00-2.99	2.01	GIA	EM	G	VS2		EX	EX	NON	-52.00	12,542.40	25,210.22		Additional clouds are not shown. Pinpoints are not shown.
1	20289242	2.00-2.99	2.07	GIA	EM	D	VVS1		EX	EX	NON	-55.05	8,990.00	18,609.30		Internal graining is not shown. Surface graining is not shown.
1	290114652	2.00-2.99	2.82	GIA	EM	G	VS2		EX	VG	NON	-35.00	8,450.00	23,829.00		
1	911026173	3.00-3.99	3.01	GIA	EM	F	VS2		EX	EX	VST	-65.00	7,875.00	23,703.75		
1	911035850	3.00-3.99	3.01	GIA	EM	F	VS2		EX	VG	NON	-45.00	12,375.00	37,248.75		
1	290157034	3.00-3.99	3.01	GIA	EM	F	SI1		EX	EX	FNT	-46.00	10,530.00	31,695.30		
